id,area,match,key,context,en,zh,status,notes
ui__cf5071fe68ee,ui_exact,exact,,ui_runtime.csv,Offline,离线,draft,
ui__beae16252e2f,ui_exact,exact,,ui_runtime.csv,Online,在线,draft,
ui__ec8c5d3c94de,ui_exact,exact,,ui_runtime.csv,Menu,菜单,draft,
ui__c3f441e98ee5,ui_exact,exact,,ui_runtime.csv,Exit,退出,draft,
ui__0a815f4d1927,ui_exact,exact,,ui_runtime.csv,App Store,商店,draft,
ui__eb2da9faf5f9,ui_exact,exact,,ui_runtime.csv,In-App Store,商店,draft,
ui__9a236bf5dbe6,ui_exact,exact,,ui_runtime.csv,内购店,商店,draft,
ui__58bb78c60499,ui_exact,exact,,ui_runtime.csv,应用商店,商店,draft,
ui__1c74227adb9d,ui_exact,exact,,ui_runtime.csv,END TURN,结束回合,draft,
ui__350a89133d6f,ui_exact,exact,,ui_runtime.csv,End Turn,结束回合,draft,
ui__261317578ad4,ui_exact,exact,,ui_runtime.csv,Play Your Turn,请出牌,draft,
ui__58542647da8b,ui_exact,exact,,ui_runtime.csv,Player 1,玩家 1,draft,
ui__cdb12a832abe,ui_exact,exact,,ui_runtime.csv,Player 2,玩家 2,draft,
ui__c7ce52e670c1,ui_exact,exact,,ui_runtime.csv,Player 3,玩家 3,draft,
ui__1b729f62a3f8,ui_exact,exact,,ui_runtime.csv,Player 4,玩家 4,draft,
ui__4db42decdada,ui_exact,exact,,ui_runtime.csv,Stone Blade Newsletter Sign-Up,订阅 Stone Blade 通讯,draft,
ui__8a31b1ad9267,ui_exact,exact,,ui_runtime.csv,VOID,虚空,draft,
ui__a7cd4f3fe569,ui_exact,exact,,ui_runtime.csv,Round 1,第 1 回合,draft,
ui__987c4687fb52,ui_exact,exact,,ui_runtime.csv,Enlightened Hero,圣贤英雄,draft,
ui__42d7812128fc,ui_exact,exact,,ui_runtime.csv,Enlightened Construct,圣贤神器,draft,
ui__fc920ea87b99,ui_exact,exact,,ui_runtime.csv,Lifebound Hero,命约英雄,draft,
ui__982815b78408,ui_exact,exact,,ui_runtime.csv,Lifebound Construct,命约神器,draft,
ui__d5d7edf9e06c,ui_exact,exact,,ui_runtime.csv,Mechana Hero,机械英雄,draft,
ui__ebbc0a2526ca,ui_exact,exact,,ui_runtime.csv,Mechana Construct,机械神器,draft,
ui__d30639f35a81,ui_exact,exact,,ui_runtime.csv,Void Hero,虚空英雄,draft,
ui__cd14f5e34bfb,ui_exact,exact,,ui_runtime.csv,Void Construct,虚空神器,draft,
ui__1bda3aa56d1b,ui_exact,exact,,ui_runtime.csv,Monster,怪物,draft,
ui__145caacb62af,ui_exact,exact,,ui_runtime.csv,Hero,英雄,draft,
ui__086e4ac166b4,ui_exact,exact,,ui_runtime.csv,Construct,神器,draft,
ui__ac186b828bbc,ui_exact,exact,,ui_runtime.csv,Music,音乐,draft,
ui__d9e56942f528,ui_exact,exact,,ui_runtime.csv,Sound Effects,音效,draft,
ui__2c4f7dc74fc1,ui_exact,exact,,ui_runtime.csv,Cultist Screams,邪教徒惨叫,draft,
ui__f1550b4fae86,ui_exact,exact,,ui_runtime.csv,PLAY ALL,全部打出,draft,
ui__196a51860b03,ui_exact,exact,,ui_runtime.csv,Play All,全部打出,draft,
ui__2b6f0fb9daed,ui_exact,exact,,ui_runtime.csv,Lobby,大厅,draft,
ui__d028898dc37b,ui_exact,exact,,ui_runtime.csv,Back,返回,draft,
ui__4e12a3c1ae0a,ui_exact,exact,,ui_runtime.csv,Offline Games,离线对局,draft,
